IUPAC names,SMILES,InChI,InChIKeys,Mr Molecular mass,Number of N,Solvent,DOI
2-(piperidin-4-ylamino)ethanol,[NH]1CCC([NH]CCO)CC1,"InChI=1S/C7H16N2O/c10-6-5-9-7-1-3-8-4-2-7/h7-10H,1-6H2",VIKFGJBBIPPPKK-UHFFFAOYSA-N,144.1262631,2,3c,https://doi.org/10.1021/acs.energyfuels.6b00875
3-(piperidin-4-ylamino)propan-1-ol,[NH]1CCC([NH]CCCO)CC1,"InChI=1S/C8H18N2O/c11-7-1-4-10-8-2-5-9-6-3-8/h8-11H,1-7H2",ZERHWNSCUZFLLO-UHFFFAOYSA-N,158.1419132,2,3d,https://doi.org/10.1021/acs.energyfuels.6b00875
6-(piperidin-4-ylamino)hexan-1-ol,[NH]1CCC([NH]CCCCCCO)CC1,"InChI=1S/C11H24N2O/c14-10-4-2-1-3-7-13-11-5-8-12-9-6-11/h11-14H,1-10H2",RTIXZMFNQBFMAL-UHFFFAOYSA-N,200.1888634,2,3e,https://doi.org/10.1021/acs.energyfuels.6b00875
N-(2-morpholin-4-ylethyl)piperidin-4-amine,[NH]1CCC([NH]CCN2CCOCC2)CC1,"InChI=1S/C11H23N3O/c1-3-12-4-2-11(1)13-5-6-14-7-9-15-10-8-14/h11-13H,1-10H2",HKJAWYDXTSZUAN-UHFFFAOYSA-N,213.1841124,3,3g,https://doi.org/10.1021/acs.energyfuels.6b00875
"N',N'-dimethyl-N-piperidin-4-ylethane-1,2-diamine",[NH]1CCC([NH]CCN(C)C)CC1,"InChI=1S/C9H21N3/c1-12(2)8-7-11-9-3-5-10-6-4-9/h9-11H,3-8H2,1-2H3",KYBHVELLDZLKGR-UHFFFAOYSA-N,171.1735477,3,3h,https://doi.org/10.1021/acs.energyfuels.6b00875
N-ethyl-N-methylpiperidin-4-amine,[NH]1CCC(N(CC)C)CC1,"InChI=1S/C8H18N2/c1-3-10(2)8-4-6-9-7-5-8/h8-9H,3-7H2,1-2H3",JTRGJKPTAQTNAS-UHFFFAOYSA-N,142.1469986,2,4a,https://doi.org/10.1021/acs.energyfuels.6b00875
2-[methyl(piperidin-4-yl)amino]ethanol,[NH]1CCC(N(CCO)C)CC1,"InChI=1S/C8H18N2O/c1-10(6-7-11)8-2-4-9-5-3-8/h8-9,11H,2-7H2,1H3",JLIYHWHUFAHROT-UHFFFAOYSA-N,158.1419132,2,4c,https://doi.org/10.1021/acs.energyfuels.6b00875
3-[methyl(piperidin-4-yl)amino]propan-1-ol,[NH]1CCC(N(CCCO)C)CC1,"InChI=1S/C9H20N2O/c1-11(7-2-8-12)9-3-5-10-6-4-9/h9-10,12H,2-8H2,1H3",RSMGBDMEDZHITB-UHFFFAOYSA-N,172.1575633,2,4d,https://doi.org/10.1021/acs.energyfuels.6b00875
6-[methyl(piperidin-4-yl)amino]hexan-1-ol,[NH]1CCC(N(CCCCCCO)C)CC1,"InChI=1S/C12H26N2O/c1-14(10-4-2-3-5-11-15)12-6-8-13-9-7-12/h12-13,15H,2-11H2,1H3",GGNVVJQBSCZKOH-UHFFFAOYSA-N,214.2045135,2,4e,https://doi.org/10.1021/acs.energyfuels.6b00875
1-ethylpiperidin-4-amine,N1(CC)CCC([NH2])CC1,"InChI=1S/C7H16N2/c1-2-9-5-3-7(8)4-6-9/h7H,2-6,8H2,1H3",UFETTXCVHFVMPU-UHFFFAOYSA-N,128.1313485,2,5a,https://doi.org/10.1021/acs.energyfuels.6b00875
